GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,0,1.000,26.589,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,1,1.000,26.549,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,2,1.000,26.700,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,3,1.000,26.681,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,4,1.000,26.774,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,5,1.000,26.818,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,6,1.000,26.802,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,7,1.000,26.678,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,8,1.000,26.801,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,1.000,9,1.000,26.530,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,0,1.000,190.326,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,1,1.000,192.823,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,2,1.000,189.013,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,3,1.000,189.461,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,4,1.000,190.475,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,5,1.000,193.243,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,6,1.000,190.611,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,7,1.000,192.268,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,8,1.000,192.751,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,2.000,9,1.000,188.356,0.001
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,0,1.000,555.709,0.003
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,1,1.000,563.806,0.003
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,2,1.000,558.523,0.003
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,3,1.000,559.944,0.003
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,4,1.000,563.282,0.003
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,5,1.000,573.801,0.003
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,6,1.000,571.518,0.003
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,7,1.000,563.505,0.003
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,8,1.000,555.684,0.003
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,3.000,9,1.000,562.474,0.003
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,0,1.000,1508.845,0.008
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,1,1.000,1553.891,0.008
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,2,1.000,1507.578,0.008
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,3,1.000,1530.337,0.008
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,4,1.000,1526.834,0.008
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,5,1.000,1466.235,0.007
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,6,1.000,1503.416,0.007
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,7,1.000,1473.111,0.008
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,8,1.000,1489.253,0.008
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,4.000,9,1.000,1525.954,0.008
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,0,1.000,2960.657,0.015
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,1,1.000,2909.990,0.014
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,2,1.000,3047.991,0.014
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,3,1.000,2972.640,0.013
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,4,1.000,3058.181,0.014
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,5,1.000,2973.944,0.014
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,6,1.000,2998.257,0.014
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,7,1.000,3088.805,0.014
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,8,1.000,3001.849,0.015
NVIDIA GeForce RTX 3060 Ti,1,1,circles_spatial3D,3000,64000,40.000,5.000,9,1.000,2858.832,0.014
